Beta,Trial,Method,AUROC,AUPR
0.1,76,ICM,0.44076514877019135,0.04143372215077652
0.1,77,SPSID,0.9063981467679731,0.4298474757452132
0.1,77,RENDOR,0.8451381735807488,0.2528234271724276
0.1,77,ND,0.8344346757768609,0.23811528621664857
0.1,77,NE,0.7888054990921667,0.22207320248948492
0.1,77,Silencer,0.5281701249888875,0.05157579535587873
0.1,77,ICM,0.4275754268064032,0.04016689337612707
0.1,78,SPSID,0.9159172864681876,0.49270969120657515
0.1,78,RENDOR,0.8569641318307746,0.2892223040050096
0.1,78,ND,0.8549632787876341,0.27547477068755083
0.1,78,NE,0.8031432819687413,0.25665623293734857
0.1,78,Silencer,0.49738053241603497,0.053051446447237145
0.1,78,ICM,0.48063679116506863,0.05072134768737187
0.1,79,SPSID,0.9072357313893693,0.4099324565723274
0.1,79,RENDOR,0.8579626595304627,0.2633418667770664
0.1,79,ND,0.8470564809329548,0.23617356813213272
0.1,79,NE,0.8039686989746329,0.22281912492772654
0.1,79,Silencer,0.5196800375830688,0.05143300663043275
0.1,79,ICM,0.46549917434805854,0.04474600425960848
0.1,80,SPSID,0.9079159157759047,0.4530715191490307
0.1,80,RENDOR,0.8499866496317261,0.2706084427459905
0.1,80,ND,0.8442930467353547,0.24860901097045296
0.1,80,NE,0.7960157622844435,0.24931276056395704
0.1,80,Silencer,0.5481204688882456,0.054191098592048584
0.1,80,ICM,0.46382579032129595,0.044151832709976
0.1,81,SPSID,0.9091979216637786,0.4428942893216251
0.1,81,RENDOR,0.8600355873157359,0.2763900326754614
0.1,81,ND,0.8446691205440471,0.24920641981733854
0.1,81,NE,0.8216308723746317,0.26365193355562544
0.1,81,Silencer,0.5371597052237246,0.05701190786488862
0.1,81,ICM,0.4858304235827744,0.0510171847500898
0.1,82,SPSID,0.9109713625166972,0.4463099541042888
0.1,82,RENDOR,0.8532878751498589,0.26859048816326553
0.1,82,ND,0.8424008962964342,0.24945487158208748
0.1,82,NE,0.8164090114467454,0.2465919576691657
0.1,82,Silencer,0.5184411065459408,0.05524314246804671
